"Saudi Arabia","23.88,45.07"
"Solomon Islands","-9.6,160.15"
"Seychelles","-4.67,55.49"
"Sudan","12.86,30.21"
"Sweden","60.12,18.64"
"Singapore","1.35,103.81"
"Saint Helena","-24.14,-10.03"
"Slovenia","46.15,14.99"
"Svalbard and Jan Mayen","77.55,23.67"
"Slovakia","48.66,19.69"
"Sierra Leone","8.46,-11.77"
"San Marino","43.9,12.45"
"Senegal","14.49,-14.45"
"Somalia","5.15,46.19"
"Suriname","3.91,-56.02"
"São Tomé and Príncipe","0.1,6.61"
"El Salvador","13.79,-88.8"
"Syria","34.80,38.99"
"Swaziland","-26.52,31.46"
"Turks and Caicos Islands","21.69,-71.79"
"Chad","15.45,18.73"
"French Southern Territories","-49.28,69.34"
"Togo","8.61,0.82"
"Thailand","15.87,100.99"
"Tajikistan","38.86,71.27"
"Tokelau","-8.96,-171.85"
"Timor-Leste","-8.87,125.72"
"Turkmenistan","38.96,59.55"
"Tunisia","33.88,9.53"
"Tonga","-21.17,-175.19"
"Turkey","38.96,35.24"
"Trinidad and Tobago","10.69,-61.22"
"Tuvalu","-7.10,177.6"
"Taiwan","23.6,120.96"
"Tanzania","-6.36,34.88"
"Ukraine","48.37,31.1"
"Uganda","1.37,32.29"
"United States","37.0,-95.71"
"Uruguay","-32.52,-55.76"
"Uzbekistan","41.37,64.58"
"Vatican City","41.90,12.45"
"Saint Vincent and the Grenadines","12.98,-61.28"
"Venezuela","6.4,-66.5"
"British Virgin Islands","18.42,-64.63"
"U.S. Virgin Islands","18.33,-64.89"
"Vietnam","14.05,108.27"
"Vanuatu","-15.37,166.95"
"Wallis and Futuna","-13.76,-177.15"
"Samoa","-13.75,-172.10"
"Kosovo","42.60,20.90"
"Yemen","15.55,48.51"
"Mayotte","-12.,45.16"
"South Africa","-30.55,22.93"
"Zambia","-13.13,27.84"
"Zimbabwe","-19.01,29.15"
